symbol,date,marketcap
AMOT,2015-03-31,288
AMP,2015-03-31,23366
AMPE,2015-03-31,259
AMPH,2015-03-31,678
AMRB,2015-03-31,74
AMRC,2015-03-31,324
AMRI,2015-03-31,606
AMRK,2015-03-31,75
AMRN,2015-03-31,371
AMRS,2015-03-31,185
AMS,2015-03-31,14
AMSC,2015-03-31,74
AMSF,2015-03-31,871
AMSG,2015-03-31,3026
AMSWA,2015-03-31,278
AMT,2015-03-31,38672
AMTD,2015-03-31,20055
AMTG,2015-03-31,507
AMTX,2015-03-31,90
AMTY,2015-03-31,1
AMWD,2015-03-31,849
AMZG,2015-03-31,6
AMZN,2015-03-31,190036
AN,2015-03-31,7406
ANAC,2015-03-31,2599
ANAD,2015-03-31,100
ANAT,2015-03-31,2660
ANCB,2015-03-31,57
ANCX,2015-03-31,199
ANDE,2015-03-31,1205
ANDR,2015-03-31,5
ANDV,2015-03-31,11429
ANDX,2015-03-31,4534
ANET,2015-03-31,4512
ANF,2015-03-31,1558
ANFC,2015-03-31,14
ANGI,2015-03-31,359
ANGO,2015-03-31,661
ANH,2015-03-31,540
ANIK,2015-03-31,555
ANIP,2015-03-31,674
ANIX,2015-03-31,27
ANN,2015-03-31,1955
ANRZ,2015-03-31,194
ANSS,2015-03-31,7754
ANTH,2015-03-31,145
ANTM,2015-03-31,40579
AOBC,2015-03-31,854
AOL,2015-03-31,3254
AOLS,2015-03-31,48
AON,2015-03-31,27333
AOS,2015-03-31,5865
AOSL,2015-03-31,227
AOXG,2015-03-31,115
AP,2015-03-31,176
APA,2015-03-31,23724
APAM,2015-03-31,3344
APC,2015-03-31,44782
APD,2015-03-31,31610
APDN,2015-03-31,49
APEI,2015-03-31,496
APEN,2015-03-31,43
APEX,2015-03-31,195
APH,2015-03-31,17915
APIC,2015-03-31,401
APLP,2015-03-31,1480
APO,2015-03-31,3661
APOG,2015-03-31,1440
APOL,2015-03-31,2577
APPCQ,2015-03-31,119
APPS,2015-03-31,159
APT,2015-03-31,42
APTS,2015-03-31,240
APTV,2015-03-31,23556
APU,2015-03-31,4430
APYX,2015-03-31,54
AR,2015-03-31,10528
ARAV,2015-03-31,491
ARAY,2015-03-31,628
ARC,2015-03-31,415
ARCB,2015-03-31,968
ARCC,2015-03-31,5311
ARCW,2015-03-31,107
ARCX,2015-03-31,250
ARDM,2015-03-31,97
ARDX,2015-03-31,206
ARE,2015-03-31,6847
ARES,2015-03-31,1509
AREX,2015-03-31,292
ARG,2015-03-31,7901
ARGO,2015-03-31,1356
ARGS,2015-03-31,167
ARI,2015-03-31,902
ARIA,2015-03-31,1632
ARII,2015-03-31,1150
ARIS,2015-03-31,50
ARKR,2015-03-31,84
ARL,2015-03-31,77
ARLP,2015-03-31,2404
ARMK,2015-03-31,7410
ARNA,2015-03-31,1030
ARNI,2015-03-31,15
AROC,2015-03-31,2351
AROPQ,2015-03-31,195
AROW,2015-03-31,337
ARPI,2015-03-31,597
ARPJQ,2015-03-31,722
ARQL,2015-03-31,127
ARR,2015-03-31,1115
ARRS,2015-03-31,4563
ARRY,2015-03-31,1019
ARTH,2015-03-31,15
ARTNA,2015-03-31,190
ARTW,2015-03-31,19
ARTX,2015-03-31,70
ARW,2015-03-31,5779
ARWR,2015-03-31,384
ASAE,2015-03-31,1
ASB,2015-03-31,2798
ASBB,2015-03-31,90
ASBI,2015-03-31,50
ASCMA,2015-03-31,515
ASEI,2015-03-31,326
ASFI,2015-03-31,109
ASGN,2015-03-31,1838
ASH,2015-03-31,8679
ASMB,2015-03-31,183
ASML,2015-03-31,42861
ASNA,2015-03-31,2438
ASNB,2015-03-31,1
ASPN,2015-03-31,159
ASPS,2015-03-31,356
ASPU,2015-03-31,25
ASRT,2015-03-31,1399
ASRV,2015-03-31,60
AST,2015-03-31,283
ASTC,2015-03-31,60
ASTE,2015-03-31,970
ASTI,2015-03-31,28
ASUR,2015-03-31,34
ASYS,2015-03-31,147
AT,2015-03-31,366
ATAX,2015-03-31,333
ATCO,2015-03-31,1839
ATE,2015-03-31,2040
ATEA,2015-03-31,5
ATEC,2015-03-31,143
ATEN,2015-03-31,296
ATEX,2015-03-31,634
ATGE,2015-03-31,2068
ATHN,2015-03-31,4645
ATHX,2015-03-31,173
ATI,2015-03-31,3523
ATLC,2015-03-31,34
ATLO,2015-03-31,228
ATLS,2015-03-31,171
ATML,2015-03-31,3374
ATMS,2015-03-31,1
ATNI,2015-03-31,1089
ATNM,2015-03-31,89
ATNY,2015-03-31,112
ATO,2015-03-31,5447
ATOS,2015-03-31,42
ATR,2015-03-31,3982
ATRA,2015-03-31,966
ATRC,2015-03-31,598
ATRI,2015-03-31,628
ATRM,2015-03-31,3
ATRO,2015-03-31,1561
ATRS,2015-03-31,323
ATRX,2015-03-31,14
ATSG,2015-03-31,635
ATVI,2015-03-31,16638
ATW,2015-03-31,1987
AUB,2015-03-31,995
AUBN,2015-03-31,91
AUMN,2015-03-31,22
AUPH,2015-03-31,131
AUTO,2015-03-31,141
AVA,2015-03-31,2062
AVAV,2015-03-31,638
AVB,2015-03-31,22672
AVD,2015-03-31,336
AVDL,2015-03-31,461
AVEO,2015-03-31,75
AVGO,2015-03-31,29127
AVGR,2015-03-31,137
AVHI,2015-03-31,356
AVID,2015-03-31,592
AVLP,2015-03-31,7
AVNS,2015-03-31,2204
AVNU,2015-03-31,124
AVNW,2015-03-31,73
AVP,2015-03-31,3514
AVT,2015-03-31,5933
AVTD,2015-03-31,55
AVX,2015-03-31,2420
AVXL,2015-03-31,20
AVY,2015-03-31,4986
AWAY1,2015-03-31,2753
AWHHF,2015-03-31,3939
AWI,2015-03-31,3097
AWK,2015-03-31,9648
AWR,2015-03-31,1478
AWRE,2015-03-31,100
AWSM,2015-03-31,35
AWX,2015-03-31,12
AX,2015-03-31,1406
AXAR,2015-03-31,296
AXAS,2015-03-31,351
AXDX,2015-03-31,1004
AXE,2015-03-31,2448
AXGN,2015-03-31,84
AXIHQ,2015-03-31,17
AXIM,2015-03-31,31
AXL,2015-03-31,1887
AXLL,2015-03-31,3022
AXP,2015-03-31,78998
AXPLF,2015-03-31,18
AXPW,2015-03-31,2
AXR,2015-03-31,41
AXS,2015-03-31,5245
AXTA,2015-03-31,6886
AXTI,2015-03-31,81
AYI,2015-03-31,7087
AYR,2015-03-31,1923
AZN,2015-03-31,88559
AZO,2015-03-31,20451
AZPN,2015-03-31,3472
AZUR,2015-03-31,373
AZZ,2015-03-31,1178
B,2015-03-31,2229
BA,2015-03-31,106406
BABA,2015-03-31,208952
BABB,2015-03-31,5
BAC,2015-03-31,164860
BAH,2015-03-31,4040
BALT,2015-03-31,85
BAMM1,2015-03-31,44
BANC,2015-03-31,446
BANF,2015-03-31,924
BANR,2015-03-31,921
BARZ,2015-03-31,21
BAS,2015-03-31,334
BASI,2015-03-31,16
BAX,2015-03-31,37336
BB,2015-03-31,5347
BBBY,2015-03-31,13093
BBDC,2015-03-31,762
BBEPQ,2015-03-31,1269
BBG,2015-03-31,462
BBGI,2015-03-31,116
BBI,2015-03-31,85
BBLUQ,2015-03-31,91
BBNK,2015-03-31,429
BBOX,2015-03-31,311
BBQ,2015-03-31,188
BBRG,2015-03-31,223
BBSI,2015-03-31,330
BBW,2015-03-31,320
BBX,2015-03-31,294
BBX1,2015-03-31,283
BBY,2015-03-31,12243
BC,2015-03-31,4747
BCAR,2015-03-31,63
BCBP,2015-03-31,101
BCC,2015-03-31,1437
BCDA,2015-03-31,23
BCEI,2015-03-31,1226
BCLI,2015-03-31,75
BCO,2015-03-31,1408
BCOR,2015-03-31,560
BCOV,2015-03-31,226
BCPC,2015-03-31,1758
BCR,2015-03-31,12724
BCRHF,2015-03-31,153
BCRX,2015-03-31,692
BCYP,2015-03-31,35
BDBD,2015-03-31,598
BDC,2015-03-31,3748
BDGE,2015-03-31,298
BDL,2015-03-31,57
BDMS,2015-03-31,25
BDN,2015-03-31,2788
BDR,2015-03-31,5
BDSI,2015-03-31,950
BDX,2015-03-31,28719
BEAT,2015-03-31,247
BEAV,2015-03-31,6544
BEBE,2015-03-31,256
BECN,2015-03-31,1553
BEE,2015-03-31,3358
BEL,2015-03-31,1516
BELFA,2015-03-31,232
BEN,2015-03-31,32045
BEP,2015-03-31,4502
BERY,2015-03-31,4070
BF.B,2015-03-31,20016
BFAM,2015-03-31,3226
BFDI,2015-03-31,9
BFGC,2015-03-31,1
BFIN,2015-03-31,271
BFRE,2015-03-31,3
BFS,2015-03-31,1129
BFYT,2015-03-31,100
BG,2015-03-31,12194
BGC,2015-03-31,879
BGCP,2015-03-31,2224
BGFV,2015-03-31,295
BGG,2015-03-31,877
BGI,2015-03-31,23
BGMD,2015-03-31,26
BGS,2015-03-31,1661
BGSF,2015-03-31,82
BH,2015-03-31,803
BHAC,2015-03-31,54
BHB,2015-03-31,201
BHBK,2015-03-31,380
BHC,2015-03-31,70535
BHE,2015-03-31,1261
BHI,2015-03-31,28451
BHLB,2015-03-31,763
BHR,2015-03-31,393
BICX,2015-03-31,14
BID,2015-03-31,2998
BIDU,2015-03-31,71736
BIEI,2015-03-31,2
BIG,2015-03-31,2455
BIIB,2015-03-31,96779
BIMI,2015-03-31,11
BINDQ,2015-03-31,121
BIO,2015-03-31,4050
BIOA,2015-03-31,208
BIOC,2015-03-31,43
BIOL,2015-03-31,121
BIQI,2015-03-31,53
BJRI,2015-03-31,1290
BK,2015-03-31,46754
BKCC,2015-03-31,680
BKCT,2015-03-31,3
BKD,2015-03-31,6782
BKE,2015-03-31,2199
BKEP,2015-03-31,260
BKGM,2015-03-31,75
BKH,2015-03-31,2224
BKJ,2015-03-31,72
BKKN,2015-03-31,5
BKMU,2015-03-31,337
BKNG,2015-03-31,61684
BKS,2015-03-31,1559
BKSC,2015-03-31,71
BKTI,2015-03-31,83
BKU,2015-03-31,3386
BKYF,2015-03-31,378
BKYI,2015-03-31,12
BLBD,2015-03-31,232
BLCM,2015-03-31,628
BLDR,2015-03-31,959
BLFS,2015-03-31,22
BLIN,2015-03-31,10
BLK,2015-03-31,60713
BLKB,2015-03-31,2323
BLKG,2015-03-31,22
BLL,2015-03-31,9834
BLMN,2015-03-31,2842
BLMT,2015-03-31,185
BLNK,2015-03-31,28
BLOX,2015-03-31,1425
BLPH,2015-03-31,115
BLT,2015-03-31,633
BLTA,2015-03-31,56
BLUE,2015-03-31,4258
BMAQ,2015-03-31,24
BMCH,2015-03-31,477
BMERQ,2015-03-31,54
BMI,2015-03-31,898
BMR,2015-03-31,4421
BMRC,2015-03-31,301
BMRN,2015-03-31,19049
BMS,2015-03-31,4480
BMTC,2015-03-31,533
BMY,2015-03-31,107397
BNCL,2015-03-31,947
BNCN,2015-03-31,597
BNET,2015-03-31,21
BNFT,2015-03-31,998
BNK,2015-03-31,299
BNSO,2015-03-31,8
BOBE,2015-03-31,1093
BOCH,2015-03-31,76
BOH,2015-03-31,2662
BOJA,2015-03-31,929
BOKF,2015-03-31,4335
BONT,2015-03-31,127
BOOM,2015-03-31,188
BOOT,2015-03-31,614
BOTJ,2015-03-31,37
BOX,2015-03-31,2068
BPFH,2015-03-31,1025
BPL,2015-03-31,10026
BPMC,2015-03-31,899
BPMX,2015-03-31,54
BPOP,2015-03-31,3504
BPTH,2015-03-31,134
BPZRQ,2015-03-31,4
BR,2015-03-31,6383
BRC,2015-03-31,1335
BRCD,2015-03-31,5025
BRCM,2015-03-31,26117
BRDR,2015-03-31,320
BRDT,2015-03-31,6
BREW,2015-03-31,257
BRG,2015-03-31,175
BRID,2015-03-31,72
BRK.B,2015-03-31,354703
BRKL,2015-03-31,730
BRKR,2015-03-31,3369
BRKS,2015-03-31,754
BRLI,2015-03-31,1016
BRN,2015-03-31,21
BRO,2015-03-31,4638
BRSS,2015-03-31,330
BRSWQ,2015-03-31,1992
BRT,2015-03-31,98
BRTX,2015-03-31,16
BRX,2015-03-31,7590
BSET,2015-03-31,304
BSF,2015-03-31,331
